,,,,,Paper Information,,,,,,,,Population Information,,,,,,,,,,,,,Demographic Characteristics,,,,,,,Exposure history,,,,,,,,,,,Comorbidities,,,,,,,,,,,,Symptoms,,,,,,,,,,,,,,,,,,,,,,,Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatments,,,,,,,,,,,,,,,,,,Medical Outcomes,,,,,,,,,,,,,,Outcomes,,,,,,,,Outcomes (Imaging),,
103,0,USA,Washington,167,"Epidemiology of Covid-19 in a Long-Term Care Facility in King County, Washington",NEJM,McMichael et. al.,https://www.nejm.org/doi/pdf/10.1056/NEJMoa2005412?articleTools=true,English,Less data than ideal but from US (which we lack data on) so recommend keeping,Ryan,,2/27/2020,3/18/2020,20,Top-level,All,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,72,72,,,,29.90%,32.90%,,,,,,,,,,,,,,,44.30%,22.80%,40.70%,,21.60%,9%,,25.70%,25.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.50%,,,,,,21.00%,53%,,,
103,1,USA,Washington,101,"Epidemiology of Covid-19 in a Long-Term Care Facility in King County, Washington",NEJM,McMichael et. al.,https://www.nejm.org/doi/pdf/10.1056/NEJMoa2005412?articleTools=true,English,Residents,Ryan,,2/27/2020,3/18/2020,20,Subgroup,Residents,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,83,83,,,,0%,31.70%,,,,,,,,,,,,,,,67.30%,31.70%,60.40%,,31.70%,14.90%,,40.60%,36.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.50%,,,,,,33.70%,62%,,,
103,2,USA,Washington,50,"Epidemiology of Covid-19 in a Long-Term Care Facility in King County, Washington",NEJM,McMichael et. al.,https://www.nejm.org/doi/pdf/10.1056/NEJMoa2005412?articleTools=true,English,Healthcare Personnel,Ryan,,2/27/2020,3/18/2020,20,Subgroup,Healthcare Personel,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,43.5,43.5,,,,100%,24%,,,,,,,,,,,,,,,8%,10%,8%,,4%,0%,,0%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,,,,0.00%,0%,,,
103,3,USA,Washington,16,"Epidemiology of Covid-19 in a Long-Term Care Facility in King County, Washington",NEJM,McMichael et. al.,https://www.nejm.org/doi/pdf/10.1056/NEJMoa2005412?articleTools=true,English,Visitors,Ryan,,2/27/2020,3/18/2020,20,Subgroup,Visitors,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,62.5,62.5,,,,0%,68.80%,,,,,,,,,,,,,,,12.50%,6.20%,18.80%,,12.50%,0%,,12.50%,18.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,6.20%,12%,,,
104,0,China,Wuhan,52,"Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a single-centered, retrospective, observational study",The Lancet Respiratory Medicine,Yang et. al.,https://www.sciencedirect.com/science/article/pii/S2213260020300795,English,Can split by survivors/non-survivors,Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,China,Chongqing,80,Chest CT Findings in Patients with Corona Virus Disease 2019 and its Relationship with Clinical Features,Investigative Radiology,Wu et. al.,https://doi.org/10.1097/RLI.0000000000000670,English,,EXCLUDE,,1/1/2020,2/1/2020,31,Top-level,All,Positive only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,China,Wuhan,155,"Clinical characteristics of refractory COVID-19 pneumonia in Wuhan, China",Clinical Infectious Diseases,Mo et. al.,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa270/5805508,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,China,Wuhan,83,"Acute gastrointestinal injury in critically ill patients with coronavirus disease 2019 in Wuhan, China",MedRxiv,Sun et. al.,https://www.medrxiv.org/content/10.1101/2020.03.25.20043570v1.full.pdf,English,,Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,China,Wuhan,1,A special case of COVID-19 with long duration of viral shedding for 49 days,MedRxiv,Tan et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20040071v1.full.pdf,English,Can split two patients into patient level data,Kim,,1/14/2020,3/19/2020,,Subgroup,patient 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,A special case of COVID-19 with long duration of viral shedding for 49 days,MedRxiv,Tan et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20040071v1.full.pdf,English,,Kim,,,,,Subgroup,patient 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,China,Wuhan,377,"A New Predictor of Disease Severity in Patients with COVID-19 in Wuhan, China",MedRxiv,Zhou et. al.,https://www.medrxiv.org/content/10.1101/2020.03.24.20042119v1.full.pdf,English,"No top-level stats, extrapolated them",Arthur,,1/1/2020,2/28/2020,58,Top-level,Extrapolated top-level stats,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,NA,,53.71,,38.23,69.20,,45.09%,,,,7.69,,3.14,12.24,,,,,,,,35.23%,22.30%,5.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,68.97%,31.03%,,5.05,3.95,6.71,,,,,,,,1.01,0.77,1.35,,,,,,,,3.59,20.32,23.00,,2.32,,1.37,38.55,64.68,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,China,Wuhan,171,"A New Predictor of Disease Severity in Patients with COVID-19 in Wuhan, China",MedRxiv,Zhou et. al.,https://www.medrxiv.org/content/10.1101/2020.03.24.20042119v1.full.pdf,English,,Arthur,,1/1/2020,2/28/2020,58,Subgroup,Non-severe train,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,NA,,49.05,,32.44,65.66,,38.60%,,,,7.61,,2.89,12.33,,,,,,,,23.29%,17%,4.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,0%,,5.13,3.78,6.42,,,,,,,,1.12,0.89,1.54,,,,,,,,3.25,19.6,20,,0.85,,0.45,39.74,59.3,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2,China,Wuhan,79,"A New Predictor of Disease Severity in Patients with COVID-19 in Wuhan, China",MedRxiv,Zhou et. al.,https://www.medrxiv.org/content/10.1101/2020.03.24.20042119v1.full.pdf,English,,Arthur,,1/1/2020,2/28/2020,58,Subgroup,Severe train,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,NA,,65.23,,50.23,80.23,,56.96%,,,,7.15,,3.32,10.98,,,,,,,,62.03%,36.71%,6.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,100%,,5.51,4,7.3,,,,,,,,0.66,0.46,0.95,,,,,,,,4.24,23.7,31.6,,6.1,,3.26,35.84,72.1,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,3,China,Wuhan,89,"A New Predictor of Disease Severity in Patients with COVID-19 in Wuhan, China",MedRxiv,Zhou et. al.,https://www.medrxiv.org/content/10.1101/2020.03.24.20042119v1.full.pdf,English,,Arthur,,1/1/2020,2/28/2020,58,Subgroup,Non-severe test,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,NA,,47,,31.71,62.29,,40.45%,,,,8.24,,3.45,13.03,,,,,,,,25.84%,14.61%,3.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,0%,,5.2,3.99,6.3,,,,,,,,1.22,0.91,1.51,,,,,,,,3.4,17.3,19,,0.74,,0.56,40.07,64.8,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,China,Wuhan,38,"A New Predictor of Disease Severity in Patients with COVID-19 in Wuhan, China",MedRxiv,Zhou et. al.,https://www.medrxiv.org/content/10.1101/2020.03.24.20042119v1.full.pdf,English,,Arthur,,1/1/2020,2/28/2020,58,Subgroup,Severe test,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,NA,,66.47,,54.57,78.37,,60.53%,,,,7.89,,3.14,12.64,,,,,,,,55.26%,34.21%,15.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,100%,,3.43,4.47,7.76,,,,,,,,0.72,0.5,0.97,,,,,,,,4.24,23.6,27.95,,4.77,,3.45,35.22,73.2,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,China,Wuhan,323,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China",,Hu et. al.,https://www.medrxiv.org/content/10.1101/2020.03.25.20037721v1.full.pdf,English,Can split by severity; clinical outcome,Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,China,Wuhan,187,Cardiovascular Implications of Fatal Outcomes of Patients With Coronavirus Disease 2019 (COVID-19),JAMA Cardiology,Guo et. al.,https://jamanetwork.com/journals/jamacardiology/article-abstract/2763845,English,General,Agni,,1/23/2020,2/23/2020,29,Top-level,General,Positive only,End-point only,Both,Both,Yes,ΝΑ,All,Both,,58.5,14.66,,,,48.70%,,,,,,,,,,,,9.60%,,,32.60%,15%,11.20%,,2.10%,7%,,3.20%,,,,,,,,,,,,,,,,,,,,,,,,,4.9,3.8,7.4,,,,,,,,0.8,0.6,1.1,,,,,,,,3.7,,,,4.04,,,,69,,,0.08,,,,,,,,,97.90%,88.80%,,,,,,,11.20%,,,24.10%,,,56.70%,,,,,,,24.60%,,5.90%,,15.40%,34.10%,,14.60%,,,,100%,,77%,,16.63,,23%,23%,,,
111,1,China,Wuhan,135,Cardiovascular Implications of Fatal Outcomes of Patients With Coronavirus Disease 2019 (COVID-19),JAMA Cardiology,Guo et. al.,https://jamanetwork.com/journals/jamacardiology/article-abstract/2763845,English,TnT level normal,Agni,,1/23/2020,2/23/2020,29,Subgroup,TnT level normal,Positive only,End-point only,Both,Both,Yes,ΝΑ,All,Both,,53.53,13.22,,,,42.20%,,,,,,,,,,,,8.10%,,,20.70%,8.90%,3.00%,,0%,5.20%,,0.70%,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.7,6.1,,,,,,,,0.84,0.63,1.13,,,,,,,,3.1,,,,3.13,,,,63,,,0.05,,,,,,,,,97%,88.90%,,,,,,,10.40%,,,10.40%,,,51.10%,,,,,,,11.90%,,1.50%,,16.50%,20%,,4.70%,,,,100%,,91.10%,,17.27,,8.90%,8.90%,,,
111,2,China,Wuhan,52,Cardiovascular Implications of Fatal Outcomes of Patients With Coronavirus Disease 2019 (COVID-19),JAMA Cardiology,Guo et. al.,https://jamanetwork.com/journals/jamacardiology/article-abstract/2763845,English,TnT level elevated,Agni,,1/23/2020,2/23/2020,29,Subgroup,TnT level elevated,Positive only,End-point only,Both,Both,Yes,ΝΑ,All,Both,,71.4,9.43,,,,65.40%,,,,,,,,,,,,13.50%,,,63.50%,30.80%,32.70%,,7.70%,11.50%,,9.60%,,,,,,,,,,,,,,,,,,,,,,,,,7.4,4.9,11.6,,,,,,,,0.69,0.34,1.01,,,,,,,,6,,,,8.55,,,,79,,,0.21,,,,,,,,,100%,88.50%,,,,,,,13.50%,,,59.60%,,,71.20%,,,,,,,57.70%,,17.30%,,13.20%,65.80%,,36.80%,,,,100%,,40.40%,,14.94,,59.60%,59.60%,,,
112,0,China,Wuhan,416,"Association of Cardiac Injury With Mortality in Hospitalized Patients With COVID-19 in Wuhan, China",JAMA Cardiology,Shi et. al.,https://jamanetwork.com/journals/jamacardiology/fullarticle/2763524,English,Can split on cardiac injury,Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,China,Wuhan,173,Antibody responses to SARS-CoV-2 in patients of novel coronavirus disease 2019,MedRxiv,Zhao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.02.20030189v1.full.pdf,English,Can split on condition type,Arthur,,1/11/2020,2/9/2020,29,Top-level,,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,48,,,35,61,,49%,,72.80%,,,,,,,,,,,,24%,12%,6.40%,1.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,81.50%,,18.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36%,,,,1.20%,3.23%,,,
113,1,China,Wuhan,141,Antibody responses to SARS-CoV-2 in patients of novel coronavirus disease 2019,MedRxiv,Zhao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.02.20030189v1.full.pdf,English,Can split on condition type,Arthur,,1/11/2020,2/9/2020,29,Subgroup,Non-critical,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,Non-ventilation only,41,,,33,56,,45%,,71.40%,,,,,,,,,,,,18%,7.80%,4.30%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,38%,,,,0%,0%,,,
113,2,China,Wuhan,32,Antibody responses to SARS-CoV-2 in patients of novel coronavirus disease 2019,MedRxiv,Zhao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.02.20030189v1.full.pdf,English,Can split on condition type,Arthur,,1/11/2020,2/9/2020,29,Subgroup,Critical,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,Ventilation only,64,,,58,66,,66%,,78.10%,,,,,,,,,,,,47%,28%,16%,9.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,6.30%,20.13%,,,
114,0,China,Guangzhou,10,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,Has patient level data,Arthur,,1/14/2020,2/20/2020,37,Top-level,,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,6.625,7.543,,2.1675,13.3975,0%,60.00%,100%,70.00%,30.00%,,,,,,,,,0%,0%,,,,,,,,,,,,,,70.00%,,38.5,50.00%,,,,,,,30.00%,,,50.00%,,,,,,,7.8,4.7,8.8,124,18.77,115,137,100.00%,,,1.75,1.35,4.73,286,,229,301,3.8,3.3,5.9,2.76,17,23,,1.14,,0.32,45.1,29,3.61,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,40%,,20,,0.00%,0.00%,,,
114,1,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 1,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,6.17,6.17,,,,0%,100%,100%,100.00%,0.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,100.00%,,39.1,100.00%,,,,,,,100.00%,,,0.00%,,,,,,,12,,,115,,,,100.00%,,,1.35,,,229,,,,3.5,,,9.24,20,33,,2.43,,0.41,44.6,29,3.5,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,0.00%,,28,,0.00%,,,,
114,2,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 2,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,12.58,12.58,,,,0%,0%,100%,100.00%,0.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,100.00%,,39.2,0.00%,,,,,,,0.00%,,,100.00%,,,,,,,4.6,,,124,,,,100.00%,,,0.89,,,173,,,,5.9,,,3.21,6,17,,0.31,,0.28,47.9,49,2.4,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,100.00%,,10,,0.00%,0.00%,,,
114,3,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 3,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,7.08,7.08,,,,0%,0%,100%,100.00%,0.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,100.00%,,38.4,100.00%,,,,,,,100.00%,,,100.00%,,,,,,,7.9,,,116,,,,100.00%,,,0.65,,,301,,,,2.6,,,6.48,11,23,,16.13,,0.33,39.8,29,2.5,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,0.00%,,23,,0.00%,,,,
114,4,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 4,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,13.75,13.75,,,,0%,100%,100%,0.00%,100.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,0.00%,,,0.00%,,,,,,,0.00%,,,0.00%,,,,,,,4.7,,,145,,,,100.00%,,,2.17,,,141,,,,8.7,,,1.97,11,16,,0.3,,0.26,44.5,55,3.61,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,100.00%,,9,,0.00%,0.00%,,,
114,5,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 5,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,1.17,1.17,,,,0%,100%,100%,0.00%,100.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,100.00%,,37.8,0.00%,,,,,,,0.00%,,,0.00%,,,,,,,7.8,,,115,,,,100.00%,,,6.19,,,363,,,,2.8,,,1.08,31,62,,1.14,,0.32,45.1,22,3.2,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,0.00%,,23,,0.00%,,,,
114,6,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 6,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,3.42,3.42,,,,0%,100%,100%,0.00%,100.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,0.00%,,,0.00%,,,,,,,0.00%,,,100.00%,,,,,,,8.8,,,135,,,,100.00%,,,4.73,,,286,,,,3.3,,,2.76,21,36,,0.3,,0.24,46,29,4.6,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,0.00%,,21,,0.00%,,,,
114,7,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 7,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,15.67,15.67,,,,0%,0%,100%,100.00%,0.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,100.00%,,38.5,0.00%,,,,,,,0.00%,,,0.00%,,,,,,,4,,,137,,,,100.00%,,,1.66,,,291,,,,3.8,,,1.99,14,20,,11.86,,0.23,48.3,50,4.8,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,100.00%,,8,,0.00%,0.00%,,,
114,8,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 8,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,13.67,13.67,,,,0%,100%,100%,100.00%,0.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,100.00%,,38.5,100.00%,,,,,,,0.00%,,,100.00%,,,,,,,7.8,,,163,,,,100.00%,,,1.75,,,240,,,,6.6,,,51,17,22,,22.05,,0.5,48.2,59,5.9,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,0.00%,,19,,0.00%,,,,
114,9,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 9,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,0.17,0.17,,,,0%,0%,100%,100.00%,0.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,0.00%,,,100.00%,,,,,,,0.00%,,,100.00%,,,,,,,10.8,,,102,,,,100.00%,,,9.05,,,342,,,,4.9,,,1.23,172,127,,1.04,,0.84,39.5,15,4.6,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,100.00%,,,,0.00%,0.00%,,,
114,10,China,Guangzhou,1,Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,Nature Medicine,Xu et. al.,https://www.nature.com/articles/s41591-020-0817-4.pdf,English,,Arthur,,1/14/2020,2/20/2020,37,Subgroup,Patient 10,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,1.75,1.75,,,,0%,100%,100%,100.00%,0.00%,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,,,100.00%,,38,100.00%,,,,,,,100.00%,,,0.00%,,,,,,,,,,,,,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,0.00%,,,,0.00%,,,,
115,1,China,Hainan,18,Clinical features of COVID-19 in elderly patients: A comparison with young and middle-aged patients,Journal of Infection,Liu et. al.,https://www.journalofinfection.com/article/S0163-4453(20)30116-X/pdf,English,Elderly,Arthur,,1/1/2020,2/15/2020,45,Subgroup,Elderly,Positive only,End-point only,Both,Both,Yes,Both,All,Both,68,,,65.25,69.75,,66.67%,,,,,,,,,,,,44.44%,,,27.78%,16.67%,11.11%,,,,,0%,,,,,77.78%,,,33.33%,11.11%,,33.33%,,11.11%,,,16.67%,,5.56%,,,,,,,5.38,4.33,6.13,107.35,,92.13,120.35,,,,,,,207,,159,287,,,,,,,,22.74,,,33,106.44,,,,,,,,,,,,66.67%,,83.33%,,,,,,22.22%,,94.44%,5.56%,22.22%,5.56%,,11.11%,,,,,,22.22%,,16.67%,5.56%,,,,38.89%,22.22%,,,100%,,94.44%,,,,5.56%,5.56%,,,
115,2,China,Hainan,38,Clinical features of COVID-19 in elderly patients: A comparison with young and middle-aged patients,Journal of Infection,Liu et. al.,https://www.journalofinfection.com/article/S0163-4453(20)30116-X/pdf,English,Young,Arthur,,1/1/2020,2/15/2020,45,Subgroup,Young,Positive only,End-point only,Both,Both,Yes,Both,All,Both,47,,,35.75,51.25,,50.00%,,,,,,,,,,,,36.84%,,,13.16%,2.63%,0%,,,,,2.63%,,,,,78.95%,,,39.47%,5.26%,,39.47%,,7.89%,,,18.42%,,5.26%,,,,,,,4.48,3.74,5.88,125.21,,114.23,140.15,,,,,,,215,,180,287,,,,,,,,6.49,,,39,88.71,,,,,,,,,,,,73.68%,,86.84%,,,,,,13.16%,,97.37%,5.26%,7.89%,2.63%,,7.89%,,,,,,5.26%,,10.53%,5.26%,,,,7.89%,13.16%,,,100%,,94.74%,,,,5.26%,5.26%,,,
116,0,China,Hunan,32,Comparisons of nucleic acid conversion time of SARS-CoV-2 ofdifferent samples in ICU and non-ICU patients,Journal of Infection,Fang et. al.,https://doi.org/10.1016/j.jinf.2020.03.013,English,,Arthur,,1/1/2020,2/29/2020,59,Top-level,,Positive only,End-point and active,Both,Both,No,Both,All,NA,41,,,,,,50.00%,87.50%,43.80%,37.50%,5,,,,,,,,,,,15.60%,12.50%,3.10%,,,,,,6.30%,,,,53.10%,,,75%,31.20%,18.80%,,18.80%,15.60%,,9.40%,,,21.90%,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,
